trade_id,symbol,entry_date,entry_price,exit_date,exit_price,quantity,side,initial_stop_loss,final_stop_loss,take_profit,pl,pl_pct,security_pl,fx_pl,entry_fx_rate,exit_fx_rate,security_currency,duration_days,entry_equity,entry_capital_available,entry_capital_required,concurrent_positions,competing_signals,entry_reason,exit_reason,commission_paid,partial_exits
T000191,GH,2019-06-10,90.27,2019-07-02,85.76,203.8690495329639,LONG,79.46230558322718,79.46230558322718,,-955.336482182953,-5.191126620139571,-955.336482182953,0.0,1.0,1.0,GBP,22,0.0,23168.93469404913,18403.259101340653,6,"CPAY,FSS,HUBB,LECO,MMM,PYPL,SPOT,TKR",AlphaTrend signal + Volume aligned,Vulnerability score swap (score: 25.0) for CNH,35.88706878928764,0
T000217,GH,2019-12-04,74.96,2020-01-27,77.86,235.219040285521,LONG,66.57620082527092,66.57620082527092,,646.1890430915789,3.664861259338322,646.1890430915789,0.0,1.0,1.0,GBP,54,0.0,22368.01758781795,17632.01925980265,4,"ARMK,GPN,PSIX,SPOT,WDAY",AlphaTrend signal + Volume aligned,Price < EMA(50),35.946173736433316,0
T000242,GH,2020-04-01,66.7,2020-05-29,90.39,101.46951629797131,LONG,49.978570426302404,49.978570426302404,,2387.872994783692,35.28172413793103,2387.872994783692,0.0,1.0,1.0,GBP,58,0.0,61227.77047976683,6768.016737074687,4,,AlphaTrend signal + Volume aligned,Vulnerability score swap (score: 49.0) for GOOG,15.939846315248314,0
T000306,GH,2021-06-08,114.78,2021-07-02,124.29,146.3431301801955,LONG,100.90813411080615,100.90813411080615,,1356.7369158814806,8.077130162049142,1356.7369158814806,0.0,1.0,1.0,GBP,24,0.0,18723.48533106318,16797.26448208284,4,"CHWY,NOV,PSIX,XYZ",AlphaTrend signal + Volume aligned,Price < EMA(50),34.98625213217933,0
T000341,GH,2022-02-01,72.96,2022-02-23,59.63,114.16086383262052,LONG,58.600430515607115,58.600430515607115,,-1536.9009038243978,-18.45201480263157,-1536.9009038243978,0.0,1.0,1.0,GBP,22,0.0,39789.77089264932,8329.176625227992,4,,AlphaTrend signal + Volume aligned,Price < EMA(50),15.136588935567154,0
T000386,GH,2022-07-14,48.06,2022-08-19,47.76,131.8385411767676,LONG,39.45506668617869,39.45506668617869,,-52.18433136858871,-0.8235955056179864,-52.18433136858871,0.0,1.0,1.0,GBP,36,0.0,8346.516963195507,6336.160288955451,7,MRVL,AlphaTrend signal + Volume aligned,Price < EMA(50),12.632769015557871,0
T000398,GH,2022-08-26,50.27,2022-09-22,49.83,132.84524132775002,LONG,41.719607557231754,41.719607557231754,,-71.74971484111842,-1.0743982494529636,-71.74971484111842,0.0,1.0,1.0,GBP,27,0.0,17802.68862264271,6678.130281545994,5,SEDG,AlphaTrend signal + Volume aligned,Price < EMA(50),13.297808656907776,0
T000405,GH,2022-10-11,50.01,2022-10-31,49.5,109.66530230346332,LONG,40.49514210486713,40.49514210486713,,-66.84209840698371,-1.218776244751046,-66.84209840698371,0.0,1.0,1.0,GBP,20,0.0,8339.941281901665,5484.3617681962005,6,"CAT,CMC",AlphaTrend signal + Volume aligned,Vulnerability score swap (score: 35.0) for BRKR,10.912794232217635,0
T000414,GH,2022-12-16,30.06,2023-01-05,27.03,129.7553962027375,LONG,19.89925637547458,19.89925637547458,,-400.5665860635086,-10.269760479041908,-400.5665860635086,0.0,1.0,1.0,GBP,20,0.0,9556.461237578598,3900.447209854289,7,"ARMK,EQX,LAC",AlphaTrend signal + Volume aligned,Vulnerability score swap (score: 35.0) for MDT,7.407735569214284,0
T000507,GH,2024-06-13,31.51,2024-07-05,28.75,322.0395439116271,LONG,27.407026628809668,27.407026628809668,,-908.2352441122059,-8.950364963503654,-908.2352441122059,0.0,1.0,1.0,GBP,22,0.0,26563.352304335313,10147.46602865537,4,,AlphaTrend signal + Volume aligned,Vulnerability score swap (score: 25.0) for OKE,19.406102916114648,0
T000535,GH,2025-01-10,36.705,2025-02-25,40.35,318.09438525517334,LONG,32.41486741651882,32.41486741651882,,1134.9432713992705,9.720596648957919,1134.9432713992705,0.0,1.0,1.0,GBP,46,0.0,36069.30583113185,11675.654410791136,4,,AlphaTrend signal + Volume aligned,Price < EMA(50),24.51076285583738,0
