column,dtype,unit_category,description,status,non_null,total,pct_populated,files_with_data,pct_files_with_data,example_value,documented
symbol,string,id,Ticker symbol.,kept,503,503,100.0,503,100.0,AA,True
as_of_date,date,date,Date the overview snapshot was captured.,kept,503,503,100.0,503,100.0,2026-05-28,True
assettype,string,category,"Security type (e.g. Common Stock, ETF).",constant,503,503,100.0,503,100.0,Common Stock,True
name,string,text,Company name.,kept,503,503,100.0,503,100.0,Alcoa Corp,True
description,string,text,Company business description.,kept,503,503,100.0,503,100.0,"Alcoa Corporation produces and sells bauxite, alumina, and aluminum products in ",True
cik,numeric,id,SEC Central Index Key identifier.,kept,502,503,99.8,502,99.8,1675149,True
exchange,string,category,Listing exchange.,kept,503,503,100.0,503,100.0,NYSE,True
currency,string,category,Trading/reporting currency.,constant,503,503,100.0,503,100.0,USD,True
country,string,category,Country of domicile.,kept,503,503,100.0,503,100.0,USA,True
sector,string,category,GICS-style sector.,kept,503,503,100.0,503,100.0,BASIC MATERIALS,True
industry,string,category,Industry classification.,kept,503,503,100.0,503,100.0,ALUMINUM,True
address,string,text,Company headquarters address.,kept,502,503,99.8,502,99.8,"201 ISABELLA STREET, PITTSBURGH, PA, UNITED STATES, 15212-5858",True
officialsite,string,text,Company website URL.,kept,502,503,99.8,502,99.8,https://www.alcoa.com,True
fiscalyearend,string,category,Month the fiscal year ends.,kept,503,503,100.0,503,100.0,December,True
latestquarter,date,date,Fiscal date of the most recent reported quarter.,kept,503,503,100.0,503,100.0,2026-03-31,True
marketcapitalization,numeric,currency,Market capitalisation.,kept,503,503,100.0,503,100.0,19303545000,True
ebitda,numeric,currency,Trailing EBITDA.,kept,446,503,88.67,446,88.67,1696000000,True
peratio,numeric,ratio,Price-to-earnings ratio.,kept,400,503,79.52,400,79.52,18.76,True
pegratio,numeric,ratio,Price/earnings-to-growth ratio.,kept,463,503,92.05,463,92.05,8.36,True
bookvalue,numeric,currency/share,Book value per share.,kept,502,503,99.8,502,99.8,25.87,True
dividendpershare,numeric,currency/share,Dividend per share.,kept,326,503,64.81,326,64.81,0.4,True
dividendyield,numeric,fraction,Dividend yield (fraction).,kept,326,503,64.81,326,64.81,0.0054,True
eps,numeric,currency/share,Earnings per share.,kept,502,503,99.8,502,99.8,3.9,True
revenuepersharettm,numeric,currency/share,Trailing-twelve-month revenue per share.,kept,503,503,100.0,503,100.0,48.63,True
profitmargin,numeric,fraction,Net profit margin (fraction).,kept,503,503,100.0,503,100.0,0.0817,True
operatingmarginttm,numeric,fraction,Trailing-twelve-month operating margin (fraction).,kept,503,503,100.0,503,100.0,0.139,True
returnonassetsttm,numeric,fraction,Trailing-twelve-month return on assets (fraction).,kept,503,503,100.0,503,100.0,0.0424,True
returnonequityttm,numeric,fraction,Trailing-twelve-month return on equity (fraction).,kept,503,503,100.0,503,100.0,0.154,True
revenuettm,numeric,currency,Trailing-twelve-month revenue.,kept,503,503,100.0,503,100.0,12655000000,True
grossprofitttm,numeric,currency,Trailing-twelve-month gross profit.,kept,503,503,100.0,503,100.0,2057000000,True
dilutedepsttm,numeric,currency/share,Trailing-twelve-month diluted EPS.,kept,503,503,100.0,503,100.0,3.9,True
quarterlyearningsgrowthyoy,numeric,fraction,Year-over-year quarterly earnings growth (fraction).,kept,503,503,100.0,503,100.0,-0.227,True
quarterlyrevenuegrowthyoy,numeric,fraction,Year-over-year quarterly revenue growth (fraction).,kept,503,503,100.0,503,100.0,-0.052,True
analysttargetprice,numeric,currency,Mean analyst target price.,kept,501,503,99.6,501,99.6,75.64,True
analystratingstrongbuy,numeric,count,Count of 'strong buy' analyst ratings.,kept,485,503,96.42,485,96.42,1,True
analystratingbuy,numeric,count,Count of 'buy' analyst ratings.,kept,485,503,96.42,485,96.42,7,True
analystratinghold,numeric,count,Count of 'hold' analyst ratings.,kept,485,503,96.42,485,96.42,4,True
analystratingsell,numeric,count,Count of 'sell' analyst ratings.,kept,485,503,96.42,485,96.42,0,True
analystratingstrongsell,numeric,count,Count of 'strong sell' analyst ratings.,kept,485,503,96.42,485,96.42,2,True
trailingpe,numeric,ratio,Trailing price-to-earnings ratio.,kept,400,503,79.52,400,79.52,18.76,True
forwardpe,numeric,ratio,Forward price-to-earnings ratio.,kept,472,503,93.84,472,93.84,17.09,True
pricetosalesratiottm,numeric,ratio,Trailing-twelve-month price-to-sales ratio.,kept,498,503,99.01,498,99.01,1.525,True
pricetobookratio,numeric,ratio,Price-to-book ratio.,kept,501,503,99.6,501,99.6,2.883,True
evtorevenue,numeric,ratio,Enterprise value to revenue.,kept,498,503,99.01,498,99.01,1.641,True
