column,dtype,unit_category,description,status,non_null,total,pct_populated,files_with_data,pct_files_with_data,example_value,documented
symbol,string,id,Ticker symbol the row belongs to.,kept,47086,47086,100,493,100,AA,TRUE
frequency,string,category,Reporting cadence of the statement (quarterly/annual).,constant,47086,47086,100,493,100,quarterly,TRUE
fiscaldateending,date,date,Last day of the fiscal period the figures cover.,kept,47086,47086,100,493,100,31/03/1998,TRUE
report_date,date,date,Date the earnings/results were publicly reported.,kept,47086,47086,100,493,100,31/03/1998,TRUE
reporttime,string,category,Timing of the earnings release (pre-market/post-market).,kept,45217,47086,96.03,493,100,pre-market,TRUE
reportedcurrency,string,category,Currency the financial statement is reported in.,kept,35644,47086,75.7,493,100,USD,TRUE
reported_eps,numeric,currency/share,Actual reported earnings per share for the quarter.,kept,45213,47086,96.02,493,100,0.9298,TRUE
estimated_eps,numeric,currency/share,Consensus analyst estimated EPS for the quarter.,kept,42982,47086,91.28,493,100,0.04,TRUE
earnings_surprise,numeric,currency/share,Reported EPS minus estimated EPS (absolute surprise).,kept,45217,47086,96.03,493,100,0,TRUE
surprise_pct,numeric,percent,Earnings surprise as a percentage of the estimate.,kept,42550,47086,90.37,491,99.59,-50,TRUE
accumulateddepreciationamortizationppe,numeric,currency,Accumulated depreciation/amortization on PP&E.,kept,3050,47086,6.48,143,29.01,-13536000000,TRUE
capitalexpenditures,numeric,currency,Capital expenditures (capex).,kept,35625,47086,75.66,493,100,444000000,TRUE
capitalleaseobligations,numeric,currency,Capital/finance lease obligations.,kept,9829,47086,20.87,404,81.95,100000000,TRUE
cashandcashequivalentsatcarryingvalue,numeric,currency,Cash and cash equivalents at carrying value.,kept,35207,47086,74.77,493,100,266000000,TRUE
cashandshortterminvestments,numeric,currency,Cash plus short-term investments.,kept,35207,47086,74.77,493,100,266000000,TRUE
cashflowfromfinancing,numeric,currency,Net cash from financing activities.,kept,34974,47086,74.28,493,100,-444000000,TRUE
cashflowfrominvestment,numeric,currency,Net cash from investing activities.,kept,34579,47086,73.44,493,100,-338000000,TRUE
changeincashandcashequivalents,numeric,currency,Net change in cash and equivalents.,kept,17247,47086,36.63,454,92.09,-49000000,TRUE
changeinexchangerate,numeric,currency,FX effect on cash balances.,kept,6462,47086,13.72,255,51.72,6000000,TRUE
changeininventory,numeric,currency,Change in inventory (cash flow adjustment).,kept,28425,47086,60.37,488,98.99,-126000000,TRUE
changeinoperatingassets,numeric,currency,Change in operating assets.,dropped_all_null,0,47086,0,0,0,,TRUE
changeinoperatingliabilities,numeric,currency,Change in operating liabilities.,dropped_all_null,0,47086,0,0,0,,TRUE
