date,symbol,revenue_ttm,pe_ratio,accumulateddepreciationamortizationppe,capitalexpenditures,capitalleaseobligations,cashandcashequivalentsatcarryingvalue,cashandshortterminvestments,cashflowfromfinancing,cashflowfrominvestment,changeincashandcashequivalents,changeinexchangerate,changeininventory,changeinoperatingassets,changeinoperatingliabilities,changeinreceivables,commonstock,commonstocksharesoutstanding,comprehensiveincomenetoftax,costofgoodsandservicessold,costofrevenue,currentaccountspayable,currentdebt,currentlongtermdebt,currentnetreceivables,deferredrevenue,depreciation,depreciationandamortization,depreciationdepletionandamortization,dividendpayout,dividendpayoutcommonstock,dividendpayoutpreferredstock,earnings_growth_yoy,earnings_surprise,ebit,ebitda,estimated_eps,fiscaldateending,forward_pe,goodwill,gross_profit_ttm,grossprofit,incomebeforetax,incometaxexpense,intangibleassets,intangibleassetsexcludinggoodwill,interestanddebtexpense,interestexpense,interestincome,inventory,investmentincomenet,investments,longtermdebt,longtermdebtnoncurrent,longterminvestments,netincome,netincomefromcontinuingoperations,netinterestincome,noninterestincome,operating_margin_ttm,operatingcashflow,operatingexpenses,operatingincome,othercurrentassets,othercurrentliabilities,othernoncurrentassets,othernoncurrentliabilities,othernonoperatingincome,paymentsforoperatingactivities,paymentsforrepurchaseofcommonstock,paymentsforrepurchaseofequity,paymentsforrepurchaseofpreferredstock,peg_ratio,price_to_book,price_to_sales_ttm,proceedsfromissuanceofcommonstock,proceedsfromissuanceoflongtermdebtandcapitalsecuritiesnet,proceedsfromissuanceofpreferredstock,proceedsfromoperatingactivities,proceedsfromrepaymentsofshorttermdebt,proceedsfromrepurchaseofequity,proceedsfromsaleoftreasurystock,profit_margin,profitloss,propertyplantequipment,report_date,report_type,reported_eps,reportedcurrency,reporttime,researchanddevelopment,retainedearnings,return_on_assets_ttm,return_on_equity_ttm,revenue_growth_yoy,revenue_per_share_ttm,sellinggeneralandadministrative,shortlongtermdebttotal,shorttermdebt,shortterminvestments,sma_200,sma_50,surprise_pct,totalassets,totalcurrentassets,totalcurrentliabilities,totalliabilities,totalnoncurrentassets,totalnoncurrentliabilities,totalrevenue,totalshareholderequity,trailing_pe,treasurystock,week_52_high,week_52_low
2000-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-09-30,,0.0587,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000-12-31,,0.0578,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-03-31,,0.0664,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-06-30,,0.068,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001-10-23,,0.0687,,pre-market,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-01-21,,0.07,,post-market,,,,,,,,,,,,,16.6667,,,,,,,,,,,,
2002-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-04-22,,0.08,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2002-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-07-22,,0.07,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2002-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002-10-21,,0.09,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2002-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-01-20,,0.09,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2003-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-04-22,,0.1,,post-market,,,,,,,,,,,,,11.1111,,,,,,,,,,,,
2003-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-07-22,,0.1,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2003-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003-10-21,,0.1,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2003-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-01-27,,0.11,,post-market,,,,,,,,,,,,,10.0,,,,,,,,,,,,
2004-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-04-21,,0.12,,post-market,,,,,,,,,,,,,9.0909,,,,,,,,,,,,
2004-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-07-21,,0.12,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2004-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004-10-21,,0.12,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2004-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-01-27,,0.13,,post-market,,,,,,,,,,,,,8.3333,,,,,,,,,,,,
2005-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-04-21,,0.14,,post-market,,,,,,,,,,,,,7.6923,,,,,,,,,,,,
2005-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-07-21,,0.15,,post-market,,,,,,,,,,,,,15.3846,,,,,,,,,,,,
2005-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005-10-20,,0.14,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2005-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-01-30,,0.14,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2006-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-04-25,,0.16,,post-market,,,,,,,,,,,,,6.6667,,,,,,,,,,,,
2006-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-07-25,,0.16,,post-market,,,,,,,,,,,,,6.6667,,,,,,,,,,,,
2006-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-10-24,,0.16,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2006-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-01-31,,0.16,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2007-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-04-25,,0.17,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2007-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-07-25,,0.17,,post-market,,,,,,,,,,,,,-5.5556,,,,,,,,,,,,
2007-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007-10-24,,0.18,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2007-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-02-06,,0.17,,post-market,,,,,,,,,,,,,-5.5556,,,,,,,,,,,,
2008-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-04-30,,0.2,,post-market,,,,,,,,,,,,,5.2632,,,,,,,,,,,,
2008-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-07-29,,0.21,,post-market,,,,,,,,,,,,,5.0,,,,,,,,,,,,
2008-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008-10-28,,0.2,,post-market,,,,,,,,,,,,,-4.7619,,,,,,,,,,,,
2008-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-02-03,,0.21,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2009-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-04-30,,0.22,,post-market,,,,,,,,,,,,,4.7619,,,,,,,,,,,,
2009-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-07-29,,0.23,,post-market,,,,,,,,,,,,,4.5455,,,,,,,,,,,,
2009-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-10-27,,0.23,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2009-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-02-03,,0.1907,,pre-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2010-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-04-29,,0.24,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2010-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-07-27,,0.25,,post-market,,,,,,,,,,,,,4.1667,,,,,,,,,,,,
2010-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010-10-26,,0.26,,post-market,,,,,,,,,,,,,4.0,,,,,,,,,,,,
2010-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-02-03,,0.27,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2011-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-04-27,,0.26,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2011-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-07-26,,0.28,,post-market,,,,,,,,,,,,,3.7037,,,,,,,,,,,,
2011-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011-11-01,,0.29,,post-market,,,,,,,,,,,,,3.5714,,,,,,,,,,,,
2011-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-02-02,,0.32,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2012-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-05-01,,0.3,,post-market,,,,,,,,,,,,,3.4483,,,,,,,,,,,,
2012-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-07-30,,0.32,,post-market,,,,,,,,,,,,,3.2258,,,,,,,,,,,,
2012-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-10-30,,0.32,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2012-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-02-05,,0.35,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2013-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-04-30,,0.33,,post-market,,,,,,,,,,,,,-2.9412,,,,,,,,,,,,
2013-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-07-30,,0.38,,post-market,,,,,,,,,,,,,5.5556,,,,,,,,,,,,
2013-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-10-29,,0.39,,post-market,,,,,,,,,,,,,2.6316,,,,,,,,,,,,
2013-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-05,,0.4,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2014-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-04-29,,0.41,,post-market,,,,,,,,,,,,,10.8108,,,,,,,,,,,,
2014-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-29,,0.41,,post-market,,,,,,,,,,,,,2.5,,,,,,,,,,,,
2014-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-10-28,,0.43,,post-market,,,,,,,,,,,,,2.381,,,,,,,,,,,,
2014-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-03,,0.45,,post-market,,,,,,,,,,,,,2.2727,,,,,,,,,,,,
2015-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-05,,0.45,,post-market,,,,,,,,,,,,,4.6512,,,,,,,,,,,,
2015-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-29,,0.48,,post-market,,,,,,,,,,,,,2.1277,,,,,,,,,,,,
2015-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-27,,0.52,,post-market,,,,,,,,,,,,,6.1224,,,,,,,,,,,,
2015-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-02,,0.5,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2016-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-05,,0.53,,post-market,,,,,,,,,,,,,3.9216,,,,,,,,,,,,
2016-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-02,,0.54,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2016-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-10-26,,0.57,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2016-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-08,,0.58,,post-market,,,,,,,,,,,,,0.0,,,,,,,,,,,,
2017-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-26,,0.63,,post-market,,,,,,,,,,,,,5.0,,,,,,,,,,,,
2017-06-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,,,0.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-01,,0.6,,post-market,,,,,,,,,,,,,-3.2258,,,,,,,,,,,,
2017-09-30,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-31,,0.64,,post-market,,,,,,,,,,,,,-1.5385,,,,,,,,,,,,
2017-12-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-07,,0.71,,post-market,,,,,,,,,,,,,2.8986,,,,,,,,,,,,
2018-03-31,FISV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-01,,0.76,,post-market,,,,,,,,,,,,,4.1096,,,,,,,,,,,,
