date,rate,,,,,
01/11/2025,0.7557,,,,,
01/10/2025,0.7602,,,,,
01/09/2025,0.7437,,,,,
01/08/2025,0.7405,,,,,
01/07/2025,0.7572,,,,,
01/06/2025,0.7281,,,,,
01/05/2025,0.7429,,,,,
01/04/2025,0.7502,,,,,
01/03/2025,0.7741,,,,,
01/02/2025,0.795,,,,,
01/01/2025,0.8069,,,,,
01/12/2024,0.799,,,,,
01/11/2024,0.7849,,,,,
01/10/2024,0.7752,,,,,
01/09/2024,0.7474,,,,,
01/08/2024,0.7614,,,,,
01/07/2024,0.7778,,,,,
01/06/2024,0.7908,,,,,
01/05/2024,0.7846,,,,,
01/04/2024,0.8005,,,,,
01/03/2024,0.792,,,,,
01/02/2024,0.792,,,,,
01/01/2024,0.7881,,,,,
01/12/2023,0.7854,,,,,
01/11/2023,0.792,,,,,
01/10/2023,0.8227,,,,,
01/09/2023,0.8196,,,,,
01/08/2023,0.7888,,,,,
01/07/2023,0.7789,,,,,
01/06/2023,0.7869,,,,,
01/05/2023,0.8037,,,,,
01/04/2023,0.7959,,,,,
01/03/2023,0.8106,,,,,
01/02/2023,0.8317,,,,,
01/01/2023,0.8116,,,,,
01/12/2022,0.8264,,,,,
01/11/2022,0.8293,,,,,
01/10/2022,0.8717,,,,,
01/09/2022,0.8957,,,,,
01/08/2022,0.8602,,,,,
01/07/2022,0.8218,,,,,
01/06/2022,0.8211,,,,,
01/05/2022,0.7934,,,,,
01/04/2022,0.7952,,,,,
01/03/2022,0.7612,,,,,
01/02/2022,0.745,,,,,
01/01/2022,0.7434,,,,,
01/12/2021,0.7389,,,,,
01/11/2021,0.7518,,,,,
01/10/2021,0.7302,,,,,
01/09/2021,0.7421,,,,,
01/08/2021,0.7268,,,,,
01/07/2021,0.7192,,,,,
01/06/2021,0.723,,,,,
01/05/2021,0.7035,,,,,
01/04/2021,0.7237,,,,,
01/03/2021,0.7254,,,,,
01/02/2021,0.7176,,,,,
01/01/2021,0.7298,,,,,
01/12/2020,0.7311,,,,,
01/11/2020,0.7505,,,,,
01/10/2020,0.7725,,,,,
01/09/2020,0.7738,,,,,
01/08/2020,0.7477,,,,,
01/07/2020,0.7641,,,,,
01/06/2020,0.8063,,,,,
01/05/2020,0.8098,,,,,
01/04/2020,0.7939,,,,,
01/03/2020,0.8051,,,,,
01/02/2020,0.7799,,,,,
01/01/2020,0.7574,,,,,
01/12/2019,0.7535,,,,,
01/11/2019,0.7731,,,,,
01/10/2019,0.7726,,,,,
01/09/2019,0.8134,,,,,
01/08/2019,0.8224,,,,,
01/07/2019,0.8223,,,,,
01/06/2019,0.7876,,,,,
01/05/2019,0.7913,,,,,
01/04/2019,0.7671,,,,,
01/03/2019,0.7672,,,,,
01/02/2019,0.7539,,,,,
01/01/2019,0.7627,,,,,
01/12/2018,0.7836,,,,,
